Bridge_ID,State_Code,Year_Built,Daily_Traffic_Count,Material_Type,Design_Code,Deck_Condition,Superstructure_Condition,Substructure_Condition,Decade_Built,Average_Condition_Score,Maintenance_Urgency,Infrastructure_Generation
000000010550220,13,1915,490,Steel,Truss - Thru,4.0,1.0,5.0,1910,3.33,Critical Action Required,1. Pre-1960 Historic
000000012103980,13,1916,3500,Steel,Stringer/Multi-beam or Girder,8.0,6.0,6.0,1910,6.67,Stable / Acceptable Health,1. Pre-1960 Historic
000000024500270,13,1916,3430,Concrete,Tee Beam,7.0,7.0,6.0,1910,6.67,Stable / Acceptable Health,1. Pre-1960 Historic
000000012150880,13,1916,2202,Concrete,Arch - Deck,6.0,6.0,6.0,1910,6.0,Routine Monitoring,1. Pre-1960 Historic
000000024500930,13,1917,2630,Concrete,Arch - Deck,8.0,7.0,7.0,1910,7.33,Stable / Acceptable Health,1. Pre-1960 Historic
000000011500500,13,1917,23650,Concrete,Arch - Deck,6.0,6.0,7.0,1910,6.33,Stable / Acceptable Health,1. Pre-1960 Historic
000000029550110,13,1918,590,Concrete Continuous,Girder and Floorbeam System,7.0,6.0,6.0,1910,6.33,Stable / Acceptable Health,1. Pre-1960 Historic
000000023300550,13,1918,3450,Concrete,Slab,3.0,3.0,3.0,1910,3.0,Critical Action Required,1. Pre-1960 Historic
000000019300390,13,1918,1270,Concrete,Arch - Deck,6.0,6.0,5.0,1910,5.67,Routine Monitoring,1. Pre-1960 Historic
000000005550370,13,1918,40,Concrete,Tee Beam,6.0,5.0,7.0,1910,6.0,Routine Monitoring,1. Pre-1960 Historic
000000011150070,13,1918,490,Steel,Truss - Thru,8.0,3.0,6.0,1910,5.67,Routine Monitoring,1. Pre-1960 Historic
000000021350070,13,1918,490,Steel,Truss - Thru,5.0,2.0,6.0,1910,4.33,Routine Monitoring,1. Pre-1960 Historic
000000020500020,13,1919,450,Concrete,Slab,7.0,7.0,7.0,1910,7.0,Stable / Acceptable Health,1. Pre-1960 Historic
000000029550350,13,1919,430,Concrete Continuous,Girder and Floorbeam System,6.0,5.0,6.0,1910,5.67,Routine Monitoring,1. Pre-1960 Historic
000000020500010,13,1919,450,Concrete,Slab,6.0,6.0,6.0,1910,6.0,Routine Monitoring,1. Pre-1960 Historic
000000032100160,13,1920,13270,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000002150110,13,1920,1768,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000010750570,13,1920,40,Concrete,Slab,4.0,4.0,4.0,1920,4.0,Critical Action Required,1. Pre-1960 Historic
000000029500300,13,1920,1410,Concrete Continuous,Slab,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000002750600,13,1920,480,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000012151280,13,1920,1940,Concrete Continuous,Slab,6.0,6.0,5.0,1920,5.67,Routine Monitoring,1. Pre-1960 Historic
000000032100150,13,1920,13270,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000024100330,13,1920,1220,Concrete,Tee Beam,7.0,7.0,6.0,1920,6.67,Stable / Acceptable Health,1. Pre-1960 Historic
000000002750610,13,1920,490,Concrete,Tee Beam,7.0,7.0,6.0,1920,6.67,Stable / Acceptable Health,1. Pre-1960 Historic
000000010750580,13,1920,120,Concrete,Slab,4.0,4.0,5.0,1920,4.33,Routine Monitoring,1. Pre-1960 Historic
000000022100010,13,1920,8630,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000017550130,13,1920,490,Concrete,Slab,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000029550070,13,1920,70,Concrete,Tee Beam,6.0,5.0,7.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000017550120,13,1920,490,Concrete,Slab,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000010750560,13,1920,10,Concrete,Slab,5.0,5.0,6.0,1920,5.33,Routine Monitoring,1. Pre-1960 Historic
000000012151200,13,1920,1940,Steel,Stringer/Multi-beam or Girder,5.0,6.0,7.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000002750590,13,1920,480,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000021300470,13,1920,9240,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000016700070,13,1920,1740,Steel Continuous,Stringer/Multi-beam or Girder,5.0,6.0,5.0,1920,5.33,Routine Monitoring,1. Pre-1960 Historic
000000002750750,13,1920,600,Steel,Stringer/Multi-beam or Girder,7.0,5.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000017550110,13,1920,490,Concrete,Slab,5.0,5.0,5.0,1920,5.0,Routine Monitoring,1. Pre-1960 Historic
000000023350260,13,1920,490,Concrete Continuous,Slab,4.0,4.0,4.0,1920,4.0,Critical Action Required,1. Pre-1960 Historic
000000029550100,13,1920,900,Concrete,Tee Beam,7.0,7.0,6.0,1920,6.67,Stable / Acceptable Health,1. Pre-1960 Historic
000000017550100,13,1920,490,Concrete,Slab,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000023350480,13,1920,490,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000008300040,13,1921,1320,Concrete,Tee Beam,7.0,7.0,6.0,1920,6.67,Stable / Acceptable Health,1. Pre-1960 Historic
000000011500240,13,1921,5840,Steel,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000020500080,13,1921,820,Concrete,Slab,7.0,7.0,7.0,1920,7.0,Stable / Acceptable Health,1. Pre-1960 Historic
000000003700030,13,1921,1870,Concrete,Tee Beam,7.0,6.0,6.0,1920,6.33,Stable / Acceptable Health,1. Pre-1960 Historic
000000031350410,13,1921,600,Concrete,Arch - Deck,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000003700020,13,1921,1870,Concrete,Tee Beam,7.0,7.0,6.0,1920,6.67,Stable / Acceptable Health,1. Pre-1960 Historic
000000008300050,13,1921,1320,Concrete,Tee Beam,5.0,6.0,6.0,1920,5.67,Routine Monitoring,1. Pre-1960 Historic
000000020500090,13,1921,820,Concrete,Slab,7.0,7.0,7.0,1920,7.0,Stable / Acceptable Health,1. Pre-1960 Historic
000000003700040,13,1921,1870,Concrete,Tee Beam,7.0,7.0,6.0,1920,6.67,Stable / Acceptable Health,1. Pre-1960 Historic
000000021350020,13,1921,10,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000006700300,13,1921,5530,Concrete,Tee Beam,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000021300440,13,1921,790,Concrete,Slab,5.0,5.0,5.0,1920,5.0,Routine Monitoring,1. Pre-1960 Historic
000000010550310,13,1921,60,Steel Continuous,Stringer/Multi-beam or Girder,8.0,6.0,6.0,1920,6.67,Stable / Acceptable Health,1. Pre-1960 Historic
000000031700160,13,1922,1710,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000021350090,13,1922,490,Steel,Stringer/Multi-beam or Girder,5.0,4.0,4.0,1920,4.33,Routine Monitoring,1. Pre-1960 Historic
000000007150790,13,1922,490,Concrete,Slab,7.0,7.0,7.0,1920,7.0,Stable / Acceptable Health,1. Pre-1960 Historic
000000031700190,13,1922,1710,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000031700150,13,1922,2030,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000030300370,13,1922,290,Concrete,Tee Beam,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000029550390,13,1922,350,Steel Continuous,Stringer/Multi-beam or Girder,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000002750560,13,1922,300,Concrete,Slab,6.0,6.0,7.0,1920,6.33,Stable / Acceptable Health,1. Pre-1960 Historic
000000029550120,13,1922,410,Concrete,Tee Beam,5.0,5.0,5.0,1920,5.0,Routine Monitoring,1. Pre-1960 Historic
000000005100540,13,1922,3570,Steel Continuous,Movable - Swing,5.0,4.0,4.0,1920,4.33,Routine Monitoring,1. Pre-1960 Historic
000000031700170,13,1922,1710,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000008900010,13,1922,31650,Concrete Continuous,Tee Beam,6.0,6.0,5.0,1920,5.67,Routine Monitoring,1. Pre-1960 Historic
000000005100550,13,1922,5740,Concrete,Tee Beam,5.0,4.0,6.0,1920,5.0,Routine Monitoring,1. Pre-1960 Historic
000000017100110,13,1922,1300,Concrete,Tee Beam,6.0,6.0,7.0,1920,6.33,Stable / Acceptable Health,1. Pre-1960 Historic
000000029550130,13,1922,410,Concrete,Tee Beam,5.0,5.0,5.0,1920,5.0,Routine Monitoring,1. Pre-1960 Historic
000000012103320,13,1923,5800,Steel,Stringer/Multi-beam or Girder,7.0,7.0,7.0,1920,7.0,Stable / Acceptable Health,1. Pre-1960 Historic
000000027551070,13,1923,720,Concrete,Tee Beam,5.0,6.0,6.0,1920,5.67,Routine Monitoring,1. Pre-1960 Historic
000000020500110,13,1923,2010,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000031350530,13,1923,600,Steel,Stringer/Multi-beam or Girder,5.0,4.0,5.0,1920,4.67,Routine Monitoring,1. Pre-1960 Historic
000000003500020,13,1923,6950,Concrete,Tee Beam,6.0,7.0,7.0,1920,6.67,Stable / Acceptable Health,1. Pre-1960 Historic
000000020500120,13,1923,2010,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000005550410,13,1923,50,Steel,Stringer/Multi-beam or Girder,3.0,3.0,5.0,1920,3.67,Critical Action Required,1. Pre-1960 Historic
000000029550340,13,1923,790,Steel Continuous,Stringer/Multi-beam or Girder,5.0,4.0,4.0,1920,4.33,Routine Monitoring,1. Pre-1960 Historic
000000029900130,13,1923,21290,Concrete Continuous,Tee Beam,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000029900120,13,1923,21290,Concrete,Tee Beam,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000020500130,13,1923,1340,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000028500070,13,1923,12740,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000014700010,13,1923,5450,Concrete,Tee Beam,6.0,6.0,7.0,1920,6.33,Stable / Acceptable Health,1. Pre-1960 Historic
000000012104330,13,1924,6640,Masonry,Arch - Deck,8.0,5.0,5.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000021500350,13,1924,27180,Concrete,Tee Beam,7.0,7.0,7.0,1920,7.0,Stable / Acceptable Health,1. Pre-1960 Historic
000000012104390,13,1924,720,Steel,Stringer/Multi-beam or Girder,7.0,8.0,7.0,1920,7.33,Stable / Acceptable Health,1. Pre-1960 Historic
000000031350020,13,1924,600,Other Material Main Span OR No Approach or Second Span Type,Mixed Types,6.0,4.0,4.0,1920,4.67,Routine Monitoring,1. Pre-1960 Historic
000000012103250,13,1924,12070,Steel,Stringer/Multi-beam or Girder,7.0,7.0,7.0,1920,7.0,Stable / Acceptable Health,1. Pre-1960 Historic
000000029900020,13,1924,8170,Concrete,Tee Beam,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000029900180,13,1924,4650,Concrete,Tee Beam,5.0,5.0,5.0,1920,5.0,Routine Monitoring,1. Pre-1960 Historic
000000029550620,13,1924,1770,Steel,Stringer/Multi-beam or Girder,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000013700060,13,1925,11420,Concrete,Arch - Deck,7.0,7.0,7.0,1920,7.0,Stable / Acceptable Health,1. Pre-1960 Historic
000000021500120,13,1925,13490,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000011550460,13,1925,900,Concrete Continuous,Slab,5.0,5.0,6.0,1920,5.33,Routine Monitoring,1. Pre-1960 Historic
000000032150490,13,1925,490,Concrete,Tee Beam,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000008901600,13,1925,8740,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000021550120,13,1925,1768,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000012151540,13,1925,1940,Steel,Stringer/Multi-beam or Girder,6.0,4.0,7.0,1920,5.67,Routine Monitoring,1. Pre-1960 Historic
000000029550500,13,1925,400,Steel Continuous,Stringer/Multi-beam or Girder,6.0,5.0,6.0,1920,5.67,Routine Monitoring,1. Pre-1960 Historic
000000005190010,13,1925,3600,Steel,Stringer/Multi-beam or Girder,7.0,6.0,5.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000021300170,13,1925,4840,Concrete,Arch - Deck,5.0,5.0,5.0,1920,5.0,Routine Monitoring,1. Pre-1960 Historic
000000012300050,13,1925,7850,Concrete,Tee Beam,7.0,7.0,7.0,1920,7.0,Stable / Acceptable Health,1. Pre-1960 Historic
000000029500030,13,1925,4490,Concrete,Tee Beam,6.0,6.0,5.0,1920,5.67,Routine Monitoring,1. Pre-1960 Historic
000000020700030,13,1925,3390,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000021500400,13,1925,4250,Concrete,Tee Beam,7.0,7.0,6.0,1920,6.67,Stable / Acceptable Health,1. Pre-1960 Historic
000000031300110,13,1925,36880,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000001100110,13,1926,1510,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000011500970,13,1926,420,Concrete,Tee Beam,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000003300220,13,1926,1560,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000001700020,13,1926,1990,Concrete,Tee Beam,7.0,7.0,7.0,1920,7.0,Stable / Acceptable Health,1. Pre-1960 Historic
000000029700160,13,1926,6030,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000017150290,13,1926,490,Concrete,Tee Beam,7.0,7.0,7.0,1920,7.0,Stable / Acceptable Health,1. Pre-1960 Historic
000000023500010,13,1926,780,Concrete,Tee Beam,7.0,7.0,7.0,1920,7.0,Stable / Acceptable Health,1. Pre-1960 Historic
000000029550670,13,1926,260,Steel Continuous,Stringer/Multi-beam or Girder,6.0,6.0,5.0,1920,5.67,Routine Monitoring,1. Pre-1960 Historic
000000011500770,13,1926,970,Steel,Stringer/Multi-beam or Girder,5.0,4.0,5.0,1920,4.67,Routine Monitoring,1. Pre-1960 Historic
000000005500360,13,1926,8030,Concrete,Tee Beam,5.0,5.0,5.0,1920,5.0,Routine Monitoring,1. Pre-1960 Historic
000000026300040,13,1926,1090,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000026300030,13,1926,1550,Concrete,Tee Beam,7.0,7.0,6.0,1920,6.67,Stable / Acceptable Health,1. Pre-1960 Historic
000000019500050,13,1926,5170,Concrete,Tee Beam,6.0,7.0,6.0,1920,6.33,Stable / Acceptable Health,1. Pre-1960 Historic
000000019500070,13,1926,3780,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000012104170,13,1926,7600,Steel,Stringer/Multi-beam or Girder,6.0,5.0,6.0,1920,5.67,Routine Monitoring,1. Pre-1960 Historic
000000010700010,13,1926,2780,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000023500020,13,1926,780,Concrete,Tee Beam,7.0,7.0,7.0,1920,7.0,Stable / Acceptable Health,1. Pre-1960 Historic
000000029100060,13,1926,10300,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000010300170,13,1926,7740,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000017900140,13,1926,5570,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000010300160,13,1926,7740,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000026300010,13,1926,7350,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000010300150,13,1926,10160,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000010300140,13,1926,10160,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000010300130,13,1926,10160,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000022700050,13,1926,2300,Concrete,Tee Beam,6.0,5.0,5.0,1920,5.33,Routine Monitoring,1. Pre-1960 Historic
000000003300260,13,1926,1590,Concrete,Tee Beam,7.0,6.0,6.0,1920,6.33,Stable / Acceptable Health,1. Pre-1960 Historic
000000003300270,13,1926,1590,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000031350210,13,1926,600,Concrete,Arch - Deck,7.0,7.0,6.0,1920,6.67,Stable / Acceptable Health,1. Pre-1960 Historic
000000022700060,13,1926,2300,Concrete,Tee Beam,6.0,5.0,5.0,1920,5.33,Routine Monitoring,1. Pre-1960 Historic
000000011900090,13,1926,1090,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000026300070,13,1926,730,Concrete,Tee Beam,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000003300250,13,1926,1590,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000024100160,13,1926,13910,Concrete,Tee Beam,6.0,6.0,5.0,1920,5.67,Routine Monitoring,1. Pre-1960 Historic
000000003300210,13,1926,990,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000013700090,13,1927,420,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000012104490,13,1927,10470,Steel,Stringer/Multi-beam or Girder,7.0,7.0,7.0,1920,7.0,Stable / Acceptable Health,1. Pre-1960 Historic
000000028500010,13,1927,3700,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000012151920,13,1927,1940,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000012103430,13,1927,1990,Steel,Stringer/Multi-beam or Girder,7.0,5.0,7.0,1920,6.33,Stable / Acceptable Health,1. Pre-1960 Historic
000000003100070,13,1927,2430,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000003990010,13,1927,4000,Steel,Movable - Swing,7.0,6.0,5.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000015300020,13,1927,630,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000028500020,13,1927,4070,Concrete,Tee Beam,7.0,7.0,6.0,1920,6.67,Stable / Acceptable Health,1. Pre-1960 Historic
000000005900260,13,1927,8600,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000000500050,13,1927,2910,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000019900040,13,1927,1900,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000012103440,13,1927,1990,Steel,Stringer/Multi-beam or Girder,7.0,5.0,7.0,1920,6.33,Stable / Acceptable Health,1. Pre-1960 Historic
000000000100090,13,1927,4230,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000000500060,13,1927,2390,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000000100070,13,1927,6170,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000000100100,13,1927,4230,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000006700600,13,1927,12870,Concrete,Tee Beam,7.0,6.0,7.0,1920,6.67,Stable / Acceptable Health,1. Pre-1960 Historic
000000001550280,13,1927,1096,Steel,Stringer/Multi-beam or Girder,5.0,5.0,5.0,1920,5.0,Routine Monitoring,1. Pre-1960 Historic
000000002750730,13,1927,200,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000012104560,13,1927,3740,Steel,Stringer/Multi-beam or Girder,6.0,7.0,5.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000014100030,13,1927,1560,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000012103990,13,1927,6620,Steel,Stringer/Multi-beam or Girder,7.0,7.0,7.0,1920,7.0,Stable / Acceptable Health,1. Pre-1960 Historic
000000012151630,13,1927,1940,Steel Continuous,Stringer/Multi-beam or Girder,7.0,7.0,7.0,1920,7.0,Stable / Acceptable Health,1. Pre-1960 Historic
000000010700230,13,1927,1870,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000002750700,13,1927,260,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000019300110,13,1927,4150,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000015300040,13,1927,1140,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000003100060,13,1927,3040,Concrete,Tee Beam,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000019900250,13,1927,3540,Concrete,Tee Beam,6.0,5.0,6.0,1920,5.67,Routine Monitoring,1. Pre-1960 Historic
000000012151930,13,1927,1940,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000000100050,13,1927,6170,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000010700240,13,1927,1870,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000031300080,13,1927,7970,Concrete,Tee Beam,7.0,7.0,7.0,1920,7.0,Stable / Acceptable Health,1. Pre-1960 Historic
000000005900270,13,1927,8600,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000014100020,13,1927,1560,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
000000031300090,13,1927,10300,Concrete,Culvert,6.0,6.0,6.0,1920,6.0,Routine Monitoring,1. Pre-1960 Historic
